NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
704,5139,704,4488,206.192,652,13,1
705,3809,705,3252,206.397,558,13,0
706,4019,706,3515,206.664,505,5,0
707,4206,707,3640,206.828,567,18,1
708,3771,708,3232,207.025,540,9,0
709,6747,709,5890,207.377,858,22,1
710,3535,710,3031,207.564,505,14,0
711,3473,711,2966,207.736,508,3,0
712,3471,712,2951,207.925,521,14,1
713,3946,713,3377,208.114,570,5,0
714,4358,714,3720,208.365,639,14,1
715,4515,715,3894,208.621,622,22,1
716,4810,716,4217,208.892,594,8,0
717,5295,717,4622,209.179,674,26,1
718,5516,718,4765,209.462,752,13,0
719,3963,719,3373,209.647,591,2,0
720,5523,720,4769,210.038,755,26,1
721,6902,721,6097,210.435,806,20,0
722,5294,722,4622,210.731,673,14,0
723,3491,723,2988,210.943,504,4,0
724,3653,724,3117,211.147,537,15,1
725,3800,725,3206,211.405,595,11,0
726,4713,726,4133,211.568,581,17,1
727,3724,727,3181,211.754,544,14,0
728,4186,728,3547,211.974,640,7,0
729,4160,729,3605,212.176,556,15,1
730,4065,730,3561,212.354,505,7,0
731,5295,731,4611,212.645,685,13,1
732,3699,732,3197,212.886,503,6,0
733,4627,733,3973,213.141,655,12,1
734,4583,734,4037,213.353,547,19,1
735,4051,735,3487,213.632,565,10,0
736,4072,736,3571,213.84,502,4,0
737,4017,737,3502,214.018,516,4,0
738,4683,738,4079,214.341,605,21,1
739,4742,739,4100,214.577,643,12,0
740,3965,740,3425,214.792,541,12,1
741,3495,741,2987,214.999,509,5,0
742,3663,742,3129,215.227,535,8,1
743,9007,743,7910,215.885,1098,18,1
744,5628,744,4964,216.201,665,11,0
745,4061,745,3556,216.392,506,24,1
746,4787,746,4164,216.627,624,17,0
747,4534,747,3975,216.865,560,5,0
748,4091,748,3555,217.08,537,27,1
749,4108,749,3574,217.322,535,9,0
750,3795,750,3258,217.514,538,6,0
751,4035,751,3456,217.73,580,15,1
752,3837,752,3327,217.904,511,7,0
753,4537,753,3903,218.19,635,18,1
754,5400,754,4702,218.45,699,8,0
755,4526,755,3915,218.68,612,19,1
756,3759,756,3203,218.952,557,6,0
757,4274,757,3673,219.174,602,22,1
758,3842,758,3330,219.382,513,11,0
759,7152,759,6162,219.898,991,13,1
760,4013,760,3504,220.099,510,5,0
761,6033,761,5306,220.46,728,21,1
762,4380,762,3855,220.728,526,11,0
763,4030,763,3528,220.947,503,3,0
764,4443,764,3883,221.152,561,23,1
765,5006,765,4414,221.46,593,11,0
766,4234,766,3705,221.726,530,15,1
767,3814,767,3257,221.936,558,5,0
768,4585,768,3936,222.192,650,10,1
769,6667,769,5834,222.591,834,35,1
770,5644,770,5017,222.912,628,18,0
771,3777,771,3231,223.129,547,16,0
772,3952,772,3413,223.326,540,7,0
773,4675,773,4084,223.566,592,23,1
774,3409,774,2887,223.778,523,10,0
775,6038,775,5234,224.289,805,13,1
776,3549,776,3042,224.538,508,4,0
777,3838,777,3267,224.725,572,13,1
778,4068,778,3504,224.91,565,5,0
779,5524,779,4812,225.364,713,22,1
780,4478,780,3935,225.561,544,17,0
781,4648,781,4089,225.842,560,9,0
782,4370,782,3822,225.995,549,23,1
783,3986,783,3422,226.194,565,14,0
784,3857,784,3356,226.415,502,5,0
785,4953,785,4274,226.75,680,20,1
786,3881,786,3371,226.95,511,19,0
787,5225,787,4578,227.249,648,20,0
788,5039,788,4427,227.577,613,10,0
789,3717,789,3204,227.78,514,9,1
790,9017,790,7861,228.43,1157,16,1
791,4122,791,3554,228.68,569,6,0
792,4531,792,3898,228.908,634,24,1
793,4581,793,3974,229.206,608,14,0
794,5085,794,4479,229.451,607,7,0
795,3967,795,3445,229.637,523,16,1
796,4051,796,3449,229.868,603,7,0
797,4530,797,3883,230.012,648,13,1
798,4115,798,3615,230.253,501,6,0
799,8102,799,7092,230.707,1011,18,1
800,5856,800,5133,231.024,724,14,0
801,3961,801,3430,231.257,532,5,0
